# Alizia planning

  Meeting started: 30/3/2026, 14:44:54
  Duration: 54 minutes
  Participants: José Attento | Educabot.com, Juan Mateos | Educabot.com, Sebastian L. | Educabot.com

  [View original transcript](https://app.tactiq.io/api/2/u/m/r/MC52P0Z8LacS4Sf5PzQo?o=txt)

    

  

  
    ## Highlights

    > 01:26 Sebastian L. | Educabot.com: te deseo obvio y la abstinencia de ser total
> 25:19 José Attento | Educabot.com: Es importante por el esquema de la base de datos como esperamos trabajar todos los datos después este en points este post podemos no desarrollarlo y es una query que la ejecuta Sebas pero es importante en el modelado de datos ya tener
> 31:11 Juan Mateos | Educabot.com: No sé si me explico Digamos como Bueno ya está, tengo una una sola fuente de modificación y va a ser el perfil de del cronograma de clases del colegio. Esto tiene para mí el único objetivo dar flexibilidad y en esa línea digamos,
> 37:55 Juan Mateos | Educabot.com: Lo verían Sí el tema es cómo lo ven si tienen uno tienen tres pasos acá adentro probablemente la interfase distinto y capaz sean dos pasos en vez de uno. pienso la iOS digo Acá hay que resolver algo, no como por ejemplo matemática tiene un String que es su categoría o no sé una variedad categórica, supongamos que es una de esta lista pero ahora si tengo más de un elemento no en algún momento esa tablita se va a llenar, no, que a ver si una temática tiene ítem, 1a y diferentes niveles ahora que si tienes esa tabla que sea un campo, no implica que tenga que ser una sola interfaz que yo elijo algo primero y después pongo siguiente y después me aparece otra cosa Y después pongo siguiente y después me aparece otra cosa o sea me me parece como importante que no forcemos una
> 46:51 José Attento | Educabot.com: Lo mejor que puedas y eso da margen de error para muchas cosas primero lados tópicos no están correlacionados. La lm no sabe si hay cosas que deberían verse antes que otras Entonces te puede meter conceptos más complejos antes que conceptos más simples que deberían ver antes y tampoco tiene en cuenta Cuánto laburo, lleva a entender cada concepto entonces para ella obviamente va a haber temas que un profesor le quiere asignar más clases otros que sea necesita en menos clases Bueno queremos bucearle todo ese laburo al profesor. Nosotros simplemente lo hacemos y que lo ajuste o queremos en nuestra fuente de verdad en nuestra tabla como guardar algo de eso de hecho. Esto se debe a ver antes que esto ten en cuenta que esto necesita más tiempo necesitamos pensar un poco mejor como va a ser ese esquema de cómo le decimos a la lm que tiene que
> 48:11 Juan Mateos | Educabot.com: de generación O sea hay que ser muy inteligentes, en qué contexto le vamos a dar a la llm para que defina Cómo define una objetiva o una clase, pero me quedaría muy muy por encima tipo porque no sabemos O sea sí, técnicamente tengo el diseño curricular Y qué sé yo, pero no sabemos en detalle que quiere hacer Ese profe, no le estamos pidiendo, Dame el programa de la materia nos estamos quedando como en otro nivel previo de abstracción y acá le estoy tirando como una pelotita de Chester el objetivo de la clase y puede estar mal y
> 52:26 Juan Mateos | Educabot.com: Yo me estoy llevando, digamos anotado esto que me dijiste si al modificar la cantidad de clases, le pedimos una justificación o no creo que no limita el desarrollo de lo más mínimo y bueno Esto del poco de los objetivos de clase, te pasa algo real que seguramente lo laburamos con Alan y empezamos a entender ese flujo que sí me parece importante sobre todo porque después también es
> 52:52 Juan Mateos | Educabot.com: cuando me hagan las actividades de la clase, en qué te vas a Después de decirte todo eso dije claro, Sí pero después lo necesito a un a un mejor criterio, puedo generarte un objetivo medio feo, pero después de dicho,

  ## Transcript

  00:00 Juan Mateos | Educabot.com: Está tomando mate.
00:02 Sebastian L. | Educabot.com: Estoy tomando esta.
00:05 Juan Mateos | Educabot.com: Ahí está muy bien, Yo estoy haciendo mi primer día de cafeína free para tratar de meter unas tres sebanitas, por lo menos sin cafeína va a costar un huevo, me parece.
00:22 Sebastian L. | Educabot.com: Y Sí suele costando mucho café, yo no tengo tanto café solo tomar con mucho uno al día y hasta ahí No me suele pasar eso de la gente. Tengo mucho café hace como tres casi salía y ya no les hace nada a cafeína con es terrible. no, no
00:39 Juan Mateos | Educabot.com: Tiene mucha cafeína.
00:46 Sebastian L. | Educabot.com: mucha
00:50 Juan Mateos | Educabot.com: Sí, un mate puede tener el mismo final de dos cafés o que tres dependiendo de tantas hierro le pongas digo yo cuánto Cuántos mates te toman. No, y en qué estadía del mate al principio tiene menos todo eso?
01:10 Sebastian L. | Educabot.com: Ah que vas a estar sin mate y sin café
01:13 Juan Mateos | Educabot.com: Sin cafeína sin nada Recién me tomé una coca y no diría porque la coca tienen gasolina.
01:19 Sebastian L. | Educabot.com: No hacer durísimo cinco casi mate y sin café.
01:25 Juan Mateos | Educabot.com: Y encima síntomas los síntomas son un dolor de cabeza, hay un par de cosas.
01:26 Sebastian L. | Educabot.com: te deseo obvio y la abstinencia de ser total
01:35 Juan Mateos | Educabot.com: Estamos hablando de algo que creo que vos viste.
01:38 José Attento | Educabot.com: Estamos hablando de falopa o qué, onda?
01:40 Juan Mateos | Educabot.com: De las falopaca legalizada la cafeína estoy contando que voy a hacer tres semanas sin cafeína y Bueno estoy arrancando hoy.
01:50 José Attento | Educabot.com: Durísimo Por qué por qué esto?
01:54 Juan Mateos | Educabot.com: pintora loca, la verdad no, no sin mucho argumento que ese sí por ahí viste me pasa que tengo mis días donde digo, para qué c***** me tomo un café bulleando tipo hiper ansioso, pues ya el día propio tiene sus momentos de estrés y demás pero más allá de eso dije Ah bueno fue desafío personal de detox, no no, no no hay
02:23 José Attento | Educabot.com: Cuando lo intenté lo lo que me ayudó, es que tomaban Café también por tema
02:26 Sebastian L. | Educabot.com: todos los días directamente
02:28 José Attento | Educabot.com: la ansiedad mucho laburo lo que sea quiero tener algo en la mano, quiero tomar algo.
02:39 Juan Mateos | Educabot.com: Se va teniendo mucho ruido de fondo.
02:45 José Attento | Educabot.com: Un buen té con voz Cata algún té que te guste.
02:48 Juan Mateos | Educabot.com: Pero el té tiene cafeína?
02:50 José Attento | Educabot.com: Sí pero es mucho menor cantidad.
02:52 Juan Mateos | Educabot.com: Ok es menos, sino yo ayer ponele estuve con un infusiones las sin cafeína Pero
03:00 José Attento | Educabot.com: Es esa onda.
03:01 Juan Mateos | Educabot.com: bueno, hoy ponele me tomé una Coca que no debería porque tiene cafeína de coca. p***
03:08 José Attento | Educabot.com: Vamos a decir Si no querés tomar nada de cafeína es muy muy difícil.
03:12 Juan Mateos | Educabot.com: El chocolate tiene cafeína me enteré.
03:15 José Attento | Educabot.com: Mira no sabía.
03:17 Juan Mateos | Educabot.com: Qué pesado, boludo, haremos el intento.
03:21 José Attento | Educabot.com: no vas tirando UPS en la
03:24 Juan Mateos | Educabot.com: Así no me van a ver es así.
03:33 José Attento | Educabot.com: bueno, en otra parece si aprovechamos el tiempo y
03:38 Juan Mateos | Educabot.com: Vamos a darle
03:42 José Attento | Educabot.com: A ver, querés arrancar, vos que tengo entendido que tenías cosas más Macro para ver y después entramos al detalle con lo que hice yo.
03:49 Juan Mateos | Educabot.com: Dale te pasé ahí seba viste el documento había como algunas definiciones Me parece que que no estaban como correctamente cubiertas en la documentación técnica O al menos había diferencias entre lo que yo tenía definido como producto y lo que habían documentación, no vamos lo más importante.
04:16 Juan Mateos | Educabot.com: puntos abiertos bueno el dashboard ese mvp, eso entiendo que va a estar en mvp, es un será más simple más complejo lo veremos bitácora, ese punto puede ser importante que comparto pantalla José que creo que este documento no te lo mandé a vos pero básicamente analicé como todo el el documento técnico el
04:41 Juan Mateos | Educabot.com: repo técnico digamos de documentación de seba y lo comparé conmigo mi documentación y yo tenía como la bitácora de cotejo, por ejemplo en mvp y acá aparecía como post mvp no el hecho de tener la bitácora de cotejo acá vamos a habría que definir si lo ponemos o no en el mvp es una cuestión de scope y darle forma pero básicamente la bitácora es algo muy importante lo
05:10 Juan Mateos | Educabot.com: estamos comunicando en todas las reuniones como Bueno después de la clase, vos nos con Cuando fue hoy en base a eso se mejora y otra vez buenísimo y creo que es funcional también.
05:21 Sebastian L. | Educabot.com: Está, no me acuerdo que tan tan definida estaba en buena actualizaste, no la bitácora la definiciones.
05:31 Juan Mateos | Educabot.com: Yo tu documentación no la toqué.
05:32 Sebastian L. | Educabot.com: No, no no no no, no, no la tuya está de notion.
05:36 Juan Mateos | Educabot.com: Probablemente le sumé cosas. Sí, sí sí sí.
05:39 Sebastian L. | Educabot.com: y yo me quedo que
05:41 Juan Mateos | Educabot.com: Puede de una Bueno listo, lo sumamos, después lo documentamos bien
05:45 Sebastian L. | Educabot.com: Tuve sí sí sí.
05:48 Juan Mateos | Educabot.com: customización por organización nada cuestiones de creo que lo podemos ver después edición edición asistida por guía de planificación docente acá en el técnico según este informe me dice que estás solo la generación, no hay chat edición de guía para planificación entiendo que debería ver, quizás falta la documentación. No sé quedó fuera mi análisis. Eso como un puntito importante a chequear. Que aparezca, digamos todo lo que es la edición con ia
06:27 Juan Mateos | Educabot.com: esto un documento publicado no se puede editar. El técnico Define que un documento publicado no se puede editar y debe volver a Draft para poder ser editado entiendo producto no lo contemplaba, o sea, el coordinador puede publicar para editar o se crea una nueva versión o qué pasa con las planificaciones ya hechas sobre un documento que se despublica no sé ella había como muchas cosas mi punto es porque no se podría editar un documento publicado.
07:00 Juan Mateos | Educabot.com: días antes de por lo menos
07:03 Sebastian L. | Educabot.com: Es una decisión de producto tipo. Como lo queremos manejar o como piensan que se manejan los documentos a nivel. educativo a nivel del ministerio no sé cómo lo manejan entonces
07:21 Juan Mateos | Educabot.com: Bien, habría que entender que es documento en este contexto. Yo creo que acá estamos hablando de un documento de coordinación Entonces es un documento vivo que tiene que poder ser editado, así que
07:34 Sebastian L. | Educabot.com: listo
07:35 Juan Mateos | Educabot.com: eso hay
07:37 José Attento | Educabot.com: Es una vez que se publica un documento de coordenadas y se edita como esa edición impacta sobre todo lo generado aparte previamente a esa edición que es trivial.
07:52 Juan Mateos | Educabot.com: Total, yo creo si te tengo que decir hoy a Ojo Digamos como que sería lindo y podría ser simple. Una pregunta de querés como propagar estos cambios básicamente no, pero con una mejor ux de eso y en caso de que sea como un sí ahí se dispararía un proceso de analicemos esto que ya estaba hecho y apliquemos estos nuevos cambios la clase cambia en algo tiene sentido que modifiquemos algo sustancial de este documento que bueno van a hacer clases, creo Generalmente no digo se modificó el documento de coordinación lo que se puede haber hecho a partir de eso es una clase No mucho más entonces si el coordinador digamos dice que sí o supongamos que lo dejamos como por default sí el proceso de desviación sería dado Este cambio.
08:52 Juan Mateos | Educabot.com: Hay algo sustancial de la clase que deba ser revisado modificado cambiado etcétera y ahí le disparamos como una notificación a ese docente escuché se modificó el documento de coordinación. Te proponemos Este cambio en tu clase número 30 la 31 a la 32 a la 33 y quedarían una línea dos línea de cambio. No creo que sea tan sustancial.
09:15 Sebastian L. | Educabot.com: Algo similar a lo que hace las diferencias de it cuando tenés dos diferencias de contenido le ponemos tipo tenías esto viejo y lo nuevo quedaría así le podemos decir a ver si le parece bien. No sé qué opinas o se modificó o algo así como que haya como una interacción de elegir si realmente quiere el cambio no quiere el cambio, lo quiere de esa manera.
09:35 Juan Mateos | Educabot.com: Claro claro, para mí es como dentro de una notificación entras y es una nueva propuesta del archivo, digamos y vos decís.
09:46 José Attento | Educabot.com: Para mí esa es la experiencia. Yo no creo que sea sencilla para mí va a ser complejo implementar. Esto nos dejemoslo para lo último de último de digamos
09:52 Sebastian L. | Educabot.com: Muy complejo.
09:55 José Attento | Educabot.com: cuando vemos si nos sobra tiempo lo metemos Porque para mí hay un me está tocando.
10:00 Juan Mateos | Educabot.com: Bien, muy cierto, dale con eso mente Igual yo dejaría que se eviten, pero si
10:08 Sebastian L. | Educabot.com: Ahí pero que no impacten.
10:08 Juan Mateos | Educabot.com: hoy si algo es Claro si hoy se modifica No impactan nada de eso, o sea que el
10:11 Sebastian L. | Educabot.com: Bueno entonces
10:15 Juan Mateos | Educabot.com: que se encargan de de acomodarlo ellos.
10:19 Sebastian L. | Educabot.com: Okay, entonces Yo pondré un mensajito cuando lee save que diga tipo una es editado el documento esto no va a tener impacto en el resto de documentos o tareas ya previamente creadas y le tiras eso lo van a mano, querés editarlas una editarla maestro, o sea, si editaste este documento que es como la base y el resto de cosas cambian bueno. Ya está Andá a cambiar la semana si es mucho el cambio te va a convenir hacerlo de cero, quizás que se reproduzca todo el coso. O no, No sé tendrán que ver ellos.
10:52 Sebastian L. | Educabot.com: Si querés hacer algo como lo estabas nombrando José tiene totalmente la razón Ya de por sí hacer un unguito es doloroso. Bueno, imagino que es tipo que un coordinador se ponga a modificar documento por documento y sus documentos y tareas y cosas ya creadas.
11:17 Juan Mateos | Educabot.com: Sí o sea, eso es un flujo que creo que vamos a tener que que tener muy muy presente en la plataforma, el hecho de propagar cambios no pienso solo en este caso pienso en un caso mucho más. Creo frecuente que es el hecho de decir profe, cómo te fue en esta clase que ibas a ver el tema al b y el c y vi el B nomás, Ah okay.
11:48 Juan Mateos | Educabot.com: La p*** madre y cómo hacemos en la clase que viene que dijimos que íbamos a ver el tema de yf, no Bueno ahora deberíamos cambiar. Toda esa dinámica para mí va a ser un constante en el sistema Entonces el hecho de la propagación de cambios tenemos que encontrarle la vuelta para que sea bastante simple y que tenga una buena ux digamos para para las personas.
12:25 Sebastian L. | Educabot.com: Que hace un análisis de de propagación de cambios por tipo de documento, o sea, no es lo mismo que se mueva una clase. Que modifiques el temario entero.
12:40 Juan Mateos | Educabot.com: total
12:41 Sebastian L. | Educabot.com: entonces Si vas tienen que ser como una sección de editado muy distinto y cada una va a tener como su lógica de negocio. A suceder. Creo que se lo vamos a reír cuando tengamos la app visualmente lista. Y podemos decir, okay, esto es esto se puede propagar así esto se puede probar así y esto se puede preparar de esta manera de momento la actividad el sistema de propagación lo dejaría con muy poste en VIP por la complejidad que conlleva que se puedan crear documentos que se pueda crear un montón de cosas que sea una sola vez.
13:22 Sebastian L. | Educabot.com: Y una vez que tengamos todo armado, digamos cómo funciona ahí empezar a cranear el sistema de propagación por tipo de documento.
13:33 Juan Mateos | Educabot.com: Le decía a José que esto de digamos del tema de propagar cambios es un caso que no es, estamos tan único, sino que tiene que ser algo Bastante interno del sistema por porque pasan muchos otros lugares el principal para mí va a ser el tema de me senté tres clases. La clase uno veo del uno del tema uno al tres en la clase, dos veo del cuatro al seis la clase 3, no los otros tres temas restantes terminé la clase uno profe, cómo te fue te dice lisa y vos le decís, eh? Hice el tema uno y el tema dos, pero después no, no pude más OK entonces el tema 3 ya no entró acá y debería entrar en la próxima clase Pero entonces si entre la próxima clase, qué hacemos con lo otro Entonces digamos creo que esa esa lógica va a estar como bastante presente en el sistema y tenemos que encontrar como una manera muy simple de poder hacer como esos cambios en cadena, digamos.
14:32 Juan Mateos | Educabot.com: Pero bueno coincido que no es no es lo primero principal en sacar, no?
14:34 Sebastian L. | Educabot.com: Le podemos sonar una ficha muy importante y si quieres a Natalia muchos
14:40 Sebastian L. | Educabot.com: profesores Hay ciertos temas que quizás sean la materia o hay temas puntuales que sean a mitad de la materia que son tipo lo doy Está en el temario. O no lo pongo el examen, viste cuando hay feriados, hay profesores que les pasa un montón que es los martes le empiezan a caer tipo todos los martes, el feriado de todos los años, entonces eres achica un montón las clases que dan Entonces ese año que le tocó dar clases.
15:07 Sebastian L. | Educabot.com: Tiene once unidades y sabe que a la llega hasta la 10 porque era 11 no la llega a dar por la cantidad de clases que tienen el año cuando crean el cronograma Entonces ellos ya saben que hay un tema puntual, que a veces en ciertos años lo dan y en ciertos años no lo llegan a dar. Entonces cuando pasa eso la propagación Vos como profesor Podrías poner un este tema es opcional entendés
15:34 Juan Mateos | Educabot.com: Sí igual hoy no estamos como organizando tanto por temas, sino como que eso se define en esta estructura de coordinación que hago que no hago como que queda en manos del docente con el objetivo de la clase en teoría. Pero entiendo el punto, creo que tenemos que dejar algo más flexible como bueno, que lo maneje por el objetivo de la clase y listo antes de entrar en una estructura de bueno Esto es opcional y estamos prioritario, creo que lo llevaría por ahí.
16:08 Juan Mateos | Educabot.com: Y después a ver algo así como importante bueno esto.
16:12 Sebastian L. | Educabot.com: Todo lo que es técnico era, o sea, eso ya está resuelto en realidad era que la doku quedó como desactualizada eso yo lo leí A este tipo. Está definido y en algunos lugares, quedó como viejo algunas palabras y realmente no era así es
16:22 Juan Mateos | Educabot.com: Bien. Sí sí, lo que más me me quedaba ahí era el tema este de la de la
16:26 Sebastian L. | Educabot.com: cuestión. De actualizarlo.
16:29 Juan Mateos | Educabot.com: publicación y de la bitácora, o sea ver como mvp. Básicamente Cuál es el scope, pero creo que también lo vamos a poder definir mejor en base a Cómo avancemos y cómo sean Los Reales de todo. Esto digamos así que de mi lado.
16:42 Sebastian L. | Educabot.com: lo que puedo hacer es volver a bajar el notion que tenías vos Juan Galicia que seguramente
16:50 Juan Mateos | Educabot.com: No está actualizado, no, no lo pensé ahí lo trabajé en otro lado, pero te puedo armar una Te paso el repo actualizado de documentación.
16:59 Sebastian L. | Educabot.com: En lo que es el lado de producto, digamos así porque me parece que ese No yo me había quedado es bastante desactualizado respecto a lo que es productos, entonces quizá por eso hay cosas que quedaron pose mvp porque no tenían contenido.
17:12 Juan Mateos | Educabot.com: Bien, Sí sí, sí, algo es importante que hay que pensar y ver y aprovecho como para introducir lo que entiendo que nadie lo vio porque medio que se definió en estos días, quizá alguien ya se imaginaba que vamos por acá, pero esta lógica de que Alicia va a ser un modular.
17:29 Juan Mateos | Educabot.com: Qué significa que sea modular que de repente tucumán quiere Alicia solo con el módulo de inclusión, pero no con planificación y el día de mañana La Rioja
17:39 Juan Mateos | Educabot.com: quiere que planificación también tenga el módulo de aprendizaje adaptativo que va a ser tuning como aplicado a y como postura de educabot, lo que vamos a estar ofreciendo es que Alicia es la infraestructura educativa que tiene algunos módulos propios, pero también vamos a permitir módulos de terceros recontra Roma es más digamos discurso que estamos Armando con Felipe del posicionamiento educativo de aquí en adelante que Algo tangible y puntual pero sí es importante digamos porque hay dos módulos que tenemos que hacer que es el módulo de inclusión y el módulo de planificación no y Habría que ver Digamos si pueden vivir separados
18:29 Juan Mateos | Educabot.com: Generalmente y valen la primera instancia lo vamos a dar juntos O sea no es algo, que creo que deberíamos súper preocuparnos Ahora sí, creo que es algo que está bueno, que lo tengamos en mente para para ahora que estamos seteando bases, no para ciertas decisiones que haya que tomar.
18:48 José Attento | Educabot.com: A ver todo lo que estamos hablando ahora es un único módulo que es módulo planificación.
18:52 Juan Mateos | Educabot.com: Hasta ahora sí que bueno acá Tiene Mira esto, esto creo que tiene algo que está bueno, que es digamos los módulos, serían planificación aprendizaje adaptativo inclusión y el módulo de contenido ponele porque esto también si nos puede pasar que alguien nos diga Che yo sí quiero contenido. Yo no no quiero que generen contenido, no Y hay como un módulo cero que es el Core en realidad tipo autenticación, la carga inicial la configuración el motor de ida Estos son como cosas cortas y después por cliente se habilita una cosa o no? Una cosa o la otra básicamente.
19:33 Juan Mateos | Educabot.com: dicho eso tuyo José
19:40 José Attento | Educabot.com: Yo cuando me puse a ver lo del RFC algo que no encontraba bien, era era el paso a paso de cómo va a ser, por ejemplo, el flujo de de coordinador como los el puens que interactúan como interactúan le mandaste un mensaje Sebas de que pusiste algo por ahí, se sumó eso, pero bueno, lo que quería hacer es que hagamos un poco de brainstorming los tres sobre este tema y que nos vayamos imaginando cómo es este flujo no, no hace falta que sea súper.
20:10 Sebastian L. | Educabot.com: MICRO SERVICIOS 🙌
20:17 José Attento | Educabot.com: Súper técnico lo que hablemos de acá sí quiero que por lo menos estemos a tengamos en vista el input y el output de nuestro modelo en nuestro flujo. Entonces acá lo que puse es me puse imaginar Che cómo sería el flujo de crear un documento de coordenadas, Cuáles son las interacciones Cuál es el input que da el usuario y que es el output de este proceso. Hay un paso inicial que es la experiencia de administrador, que lo que va a hacer es va a ser un Setup del documento de coordenadas que puede existir o puede no existir depende de la organización, no como un OVNI que diga Che hoy, los pibes van a ver la llegada de Colón a américa, Perdón no hoy este año los pibes de quinto van a ver la llegada de Colón América y hace un Zeta inicial de un documento de coordenadas a groso modo para que después el coordinador lo refine ese es un caso y después tenemos otro caso, que es un coordinador hace el Setup desde cero de un documento de coordenadas Estamos de acuerdo con esa prisión.
21:34 Juan Mateos | Educabot.com: No se te terminó de entender, o sea, o se lo seteamos nosotros decimos Che así
21:39 José Attento | Educabot.com: Hay tres.
21:39 Juan Mateos | Educabot.com: son los documentos de ordenados a ver.
21:42 José Attento | Educabot.com: Hay tres roles, admin coordinador admin le puse acá, pero digo administrador de la organización coordinador y docente el que puede crear un documento de coordenadas, como entidad puede ser tanto el coordinador como el administrador Eso es correcto.
22:02 Sebastian L. | Educabot.com: Sí, sí, sí sí.
22:04 Juan Mateos | Educabot.com: que suponemos que no lo va a hacer el admin, pero podría
22:14 Sebastian L. | Educabot.com: Debería tener acceso a todo el aluminio, entonces como que no no que sí, no lo va a hacer, pero lo puede hacer. Si no, no tendría gracias.
22:24 José Attento | Educabot.com: Va a ser el coordinador entra no tiene ningún documento de coordenadas cargado y él se va a poner a crear todos.
22:33 Juan Mateos | Educabot.com: Claro, o sea, igual Acá hay dos cosas que creo que está bueno definir vos decís crear un documento de coordenadas, no sé si te referís como a la tarjetita vacía que hoy tenemos en Alicia que vos tocás como como dar forma o
22:49 José Attento | Educabot.com: cara
22:49 Juan Mateos | Educabot.com: te referís.
22:50 José Attento | Educabot.com: Me refiero a esto lo que estamos acá en mi pantalla, un un documento de
22:51 Juan Mateos | Educabot.com: claro
22:54 José Attento | Educabot.com: coordenadas en su estado inicial es un hombre los temas que se van a tocar ahí los tópicos Y cuándo cuándo se va a tomar y cuál es el área encargado?
23:05 Juan Mateos | Educabot.com: Bueno pero es distinto Porque si vos te fijas nosotros nuestro flujo tenemos como la parte de los tópicos y el nombre y el área ya están como precargada por sistema y el y el coordinador lo que define como stardate en date y como que lo asigna y le da más formas, o sea, yo creo que creo que hay un momento de Setup que es Dame tu diseño curricular tus temas bla bla bla y cargamos todo
23:27 José Attento | Educabot.com: claro
23:31 Juan Mateos | Educabot.com: eso y después un coordinador o un admin Bueno ahí no termino de entender digamos Por eso creo que hay jabón hace la diferencia algunos de los dos puede tomar ese esqueleto ese Temple que ya existe y terminar de cocinarlo Internet Pero hay un proceso previo que ya Define varias cosas de cada cada
23:53 José Attento | Educabot.com: Estamos hablando de eso, llamémoslo un documento en coordenadas en estado Draft como lo más básico de Qué temas va a tocar el nombre cuando empiece cuando
23:58 Juan Mateos | Educabot.com: listo
24:04 José Attento | Educabot.com: termina no esto porque me imagino que por ahí existe que haga el Setup un admin porque por ahí tiene sentido que una admi nace el Setup y después todos los años probablemente se vaya repitiendo como Cuáles son los núcleos problemáticos por llamarlo de alguna manera que se van a ver en el año entonces por ahí no tiene sentido que un coordinador todos los años haga el Setup desde cero porque tiene más sentido darle un template que son documentos de coordenadas en estado Draft y que él vaya haciendo ese refinamiento que que nosotros tenemos en la demo.
24:38 Juan Mateos | Educabot.com: Bien, ahí entendí, Yo creo que esto como hacer este Setup lo vamos a nosotros. Hoy, o sea, con Dios nosotros va a ser, vamos a agarrar lo que nos mandan de diseño curricular y le vamos a hacer medio camanopla y le vamos a mandar Che está bien Esto sí, no Y todo lo que toque un usuario final va a pasar de ahí en adelante, ya va a recibir.
25:03 José Attento | Educabot.com: perfecto
25:04 Juan Mateos | Educabot.com: Más adelante creo que tendría sentido algo así, pero estamos pensando, digamos en Horizonte temporal en un caso de uso que va a pasar acá un año, o sea, yo si nos facilita lo dejaría de lado ahora.
25:19 José Attento | Educabot.com: Es importante por el esquema de la base de datos como esperamos trabajar todos los datos después este en points este post podemos no desarrollarlo y es una query que la ejecuta Sebas pero es importante en el modelado de datos ya tener
25:30 Juan Mateos | Educabot.com: claro
25:33 José Attento | Educabot.com: en cuenta de que existen, en qué momento.
25:36 Sebastian L. | Educabot.com: Literalmente es una tabla y de ahí dispara otras tablas y las relaciones entre esas tablas Entonces si no la consideramos esa tabla o la consideramos mal va a impactar.
25:48 José Attento | Educabot.com: Esa tabla está. No tengo ninguno, les quiero ir mostrando los cada una de las tarjetitas con la
26:05 Sebastian L. | Educabot.com: Igual esa tabla esa tabla está no?
26:08 José Attento | Educabot.com: correspondencia de de la demo para que estemos hablando de lo mismo. Así Carlitos tiene algo.
26:40 Juan Mateos | Educabot.com: Sabemos que hay otra que es pendiente.
26:45 José Attento | Educabot.com: la batalla inicial que ven cuando empiezan un documento de coordenadas, pero tengo que resetear la de estamos se está grabando Juan lo que estamos Charlando
27:07 Juan Mateos | Educabot.com: Sí sí, creo que se va, no sé si alguien activo, pero yo tengo al menos desde Tactiq ❤️. Estoy tomando notas.
